Name,Enabled,DNSHostName,DistinguishedName,System,LastLogonDate,Laps,LapsExpirationDays,LapsExpirationTime
WKS-HQ-2201,TRUE,WKS-HQ-2201.sra.org.sz,"CN=WKS-HQ-2201,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/07/25 08:04,TRUE,-52,2022/09/12 10:15
SRASRV-SQL01,TRUE,SRASRV-SQL01.sra.org.sz,"CN=SRASRV-SQL01,OU=SQL,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/11/03 08:35,FALSE,,
SRASRV-DRMDEVNV,TRUE,SRASRV-DRMDEVNV.sra.org.sz,"CN=SRASRV-DRMDEVNV,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/11/01 23:36,FALSE,,
SRASRV-VC2-DR,TRUE,srasrv-vc2-dr.sra.org.sz,"CN=SRASRV-VC2-DR,OU=DR,OU=Servers,DC=sra,DC=org,DC=sz",unknown,2022/11/02 09:23,FALSE,,
WKS-TRN-2612,TRUE,WKS-TRN-2612.sra.org.sz,"CN=WKS-TRN-2612,OU=Training Computers,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 2004,2022/10/27 12:12,FALSE,,
WKS-MHL-2434,TRUE,WKS-MHL-2434.sra.org.sz,"CN=WKS-MHL-2434,OU=Computers,OU=Mhlumeni_border,DC=sra,DC=org,DC=sz",Windows 10 2004,2022/10/28 10:47,TRUE,27,2022/12/01 14:33
SRASRV-RMS01,TRUE,SRASRV-RMS01.sra.org.sz,"CN=SRASRV-RMS01,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/10/29 00:15,FALSE,,
SRASRV-RMS02,TRUE,SRASRV-RMS02.sra.org.sz,"CN=SRASRV-RMS02,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/10/29 04:16,FALSE,,
SRASRV-ETAX01,TRUE,SRASRV-ETAX01.sra.org.sz,"CN=SRASRV-ETAX01,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/10/29 18:18,FALSE,,
SRASRV-HRTEST,TRUE,SRASRV-HRTEST.sra.org.sz,"CN=SRASRV-HRTEST,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/10/26 00:56,FALSE,,
SRASRV-FIN01,TRUE,SRASRV-FIN01.sra.org.sz,"CN=SRASRV-FIN01,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/10/28 15:56,FALSE,,
SRASRV-RMSUAT,TRUE,SRASRV-RMSUAT.sra.org.sz,"CN=SRASRV-RMSUAT,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/11/04 04:49,FALSE,,
SRASRV-CUSTOMCO,TRUE,SRASRV-CUSTOMCONNECT-PROD.sra.org.sz,"CN=SRASRV-CUSTOMCO,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/10/30 04:17,FALSE,,
LPT-HQ-3052,TRUE,LPT-HQ-3052.sra.org.sz,"CN=LPT-HQ-3052,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 08:23,FALSE,,
WKS-HQ-2055,TRUE,WKS-HQ-2055.sra.org.sz,"CN=WKS-HQ-2055,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/02 13:35,TRUE,27,2022/12/01 15:56
SRASRV-VRM,TRUE,srasrv-vrm.sra.org.sz,"CN=SRASRV-VRM,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/10/27 21:06,FALSE,,
SRASRV-ERM-TEST,TRUE,SRASRV-ERM-TEST.sra.org.sz,"CN=SRASRV-ERM-TEST,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/10/28 12:11,FALSE,,
SRASRV-SQL-DR,TRUE,SRASRV-SQL-DR.sra.org.sz,"CN=SRASRV-SQL-DR,OU=DR,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/10/26 18:32,FALSE,,
SRASRV-ASYCLT01,TRUE,SRASRV-ASYCLT01.sra.org.sz,"CN=SRASRV-ASYCLT01,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows 7 Enterprise,2022/10/06 16:05,FALSE,,
SRASRV-ASYCLT02,TRUE,SRASRV-ASYCLT02.sra.org.sz,"CN=SRASRV-ASYCLT02,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows 7 Enterprise,2022/08/04 18:00,FALSE,,
WKS-MAH-2206,TRUE,WKS-MAH-2206.sra.org.sz,"CN=WKS-MAH-2206,OU=Computers,OU=Mahamba_border,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/09/22 17:55,FALSE,,
SRASRV-DR-FILE0,TRUE,SRASRV-DR-FILE01.sra.org.sz,"CN=SRASRV-DR-FILE0,OU=DR,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2021/07/04 13:28,FALSE,,
SRASRV-DC03,TRUE,SRASRV-DC03.sra.org.sz,"CN=SRASRV-DC03,OU=Domain Controllers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/10/25 10:00,FALSE,,
SRASRV-RDS,TRUE,SRASRV-RDS.sra.org.sz,"CN=SRASRV-RDS,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/11/02 05:20,FALSE,,
SRASRV-CA,TRUE,SRASRV-CA.sra.org.sz,"CN=SRASRV-CA,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/10/25 08:50,FALSE,,
WKS-HQ-2446,TRUE,WKS-HQ-2446.sra.org.sz,"CN=WKS-HQ-2446,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 2004,2022/10/31 09:07,TRUE,3,2022/11/07 22:24
WKS-LAV-2416,TRUE,WKS-LAV-2416.sra.org.sz,"CN=WKS-LAV-2416,OU=Computers,OU=Lavumisa_border,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/25 09:39,TRUE,19,2022/11/23 14:04
WKS-LAV-2413,TRUE,WKS-LAV-2413.sra.org.sz,"CN=WKS-LAV-2413,OU=Computers,OU=Lavumisa_border,DC=sra,DC=org,DC=sz",Windows 10 1909,2022/10/25 14:40,FALSE,,
WKS-HQ-2457,TRUE,WKS-HQ-2457.sra.org.sz,"CN=WKS-HQ-2457,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/03 00:35,TRUE,27,2022/12/01 19:06
SRASRV-ELEARN-U,TRUE,SRASRV-eLEARN-UAT.sra.org.sz,"CN=SRASRV-ELEARN-U,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2019 Standard,2022/08/22 19:54,FALSE,,
LPT-HQ-5640,TRUE,LPT-HQ-5640.sra.org.sz,"CN=LPT-HQ-5640,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 11,2022/10/27 08:18,TRUE,11,2022/11/16 07:41
LPT-HQ-5666,TRUE,LPT-HQ-5666.sra.org.sz,"CN=LPT-HQ-5666,OU=ICT,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 11,2022/11/03 07:42,TRUE,28,2022/12/02 08:27
LPT-HQ-5675,TRUE,LPT-HQ-5675.sra.org.sz,"CN=LPT-HQ-5675,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/24 10:26,FALSE,,
LPT-HQ-5673,TRUE,LPT-HQ-5673.sra.org.sz,"CN=LPT-HQ-5673,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:08,FALSE,,
LPT-HQ-5670,TRUE,LPT-HQ-5670.sra.org.sz,"CN=LPT-HQ-5670,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 1903,2022/10/28 09:41,TRUE,5,2022/11/09 10:43
LPT-HQ-5654,TRUE,LPT-HQ-5654.sra.org.sz,"CN=LPT-HQ-5654,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 1903,2022/10/31 16:02,TRUE,7,2022/11/11 12:14
LPT-HQ-5669,TRUE,LPT-HQ-5669.sra.org.sz,"CN=LPT-HQ-5669,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:43,TRUE,2,2022/11/06 09:43
LPT-HQ-5660,TRUE,LPT-HQ-5660.sra.org.sz,"CN=LPT-HQ-5660,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:05,TRUE,25,2022/11/29 18:05
DomainAdmins1,TRUE,,"CN=DomainAdmins1,CN=Computers,DC=sra,DC=org,DC=sz",Unknown,,FALSE,,
LPT-HQ-5641,TRUE,LPT-HQ-5641.sra.org.sz,"CN=LPT-HQ-5641,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 10:35,TRUE,2,2022/11/06 09:40
LPT-HQ-5643,TRUE,LPT-HQ-5643.sra.org.sz,"CN=LPT-HQ-5643,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 14:31,TRUE,14,2022/11/18 13:29
LPT-HQ-5671,TRUE,LPT-HQ-5671.sra.org.sz,"CN=LPT-HQ-5671,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/03 08:12,TRUE,7,2022/11/11 09:14
LPT-HQ-5642,TRUE,LPT-HQ-5642.sra.org.sz,"CN=LPT-HQ-5642,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/03 08:20,TRUE,5,2022/11/09 08:10
LPT-HQ-5644,TRUE,LPT-HQ-5644.sra.org.sz,"CN=LPT-HQ-5644,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/03 07:56,TRUE,26,2022/11/30 11:14
LPT-HQ-5648,TRUE,LPT-HQ-5648.sra.org.sz,"CN=LPT-HQ-5648,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/25 08:38,TRUE,23,2022/11/27 16:44
LPT-HQ-5647,TRUE,LPT-HQ-5647.sra.org.sz,"CN=LPT-HQ-5647,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 2004,2022/10/24 08:13,TRUE,23,2022/11/27 10:38
LPT-HQ-5646,TRUE,LPT-HQ-5646.sra.org.sz,"CN=LPT-HQ-5646,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/04 07:59,FALSE,,
LPT-HQ-5681,TRUE,LPT-HQ-5681.sra.org.sz,"CN=LPT-HQ-5681,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/28 17:50,TRUE,25,2022/11/29 22:01
LPT-HQ-5682,TRUE,LPT-HQ-5682.sra.org.sz,"CN=LPT-HQ-5682,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/09/12 20:08,TRUE,-25,2022/10/09 11:05
LPT-HQ-5668,TRUE,LPT-HQ-5668.sra.org.sz,"CN=LPT-HQ-5668,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 11,2022/10/31 08:14,TRUE,16,2022/11/20 10:19
LPT-HQ-5678,TRUE,LPT-HQ-5678.sra.org.sz,"CN=LPT-HQ-5678,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/27 12:07,FALSE,,
LPT-HQ-5622,TRUE,LPT-HQ-5622.sra.org.sz,"CN=LPT-HQ-5622,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/20 18:12,TRUE,2,2022/11/06 09:57
LPT-HQ-5658,TRUE,LPT-HQ-5658.sra.org.sz,"CN=LPT-HQ-5658,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 08:53,TRUE,5,2022/11/09 08:28
LPT-HQ-5645,TRUE,LPT-HQ-5645.sra.org.sz,"CN=LPT-HQ-5645,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/03 08:56,TRUE,19,2022/11/23 09:49
LPT-HQ-5630,TRUE,LPT-HQ-5630.sra.org.sz,"CN=LPT-HQ-5630,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 1903,2022/10/24 09:26,TRUE,0,2022/11/03 13:21
LPT-HQ-5676,TRUE,LPT-HQ-5676.sra.org.sz,"CN=LPT-HQ-5676,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/30 13:33,TRUE,28,2022/12/02 08:52
LPT-HQ-5639,TRUE,LPT-HQ-5639.sra.org.sz,"CN=LPT-HQ-5639,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 07:58,TRUE,9,2022/11/13 18:03
LPT-HQ-5667,TRUE,LPT-HQ-5667.sra.org.sz,"CN=LPT-HQ-5667,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:02,TRUE,2,2022/11/06 13:25
LPT-HQ-5680,TRUE,LPT-HQ-5680.sra.org.sz,"CN=LPT-HQ-5680,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 1903,2022/11/03 09:11,FALSE,,
LPT-HQ-5655,TRUE,LPT-HQ-5655.sra.org.sz,"CN=LPT-HQ-5655,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/03 08:26,TRUE,7,2022/11/11 08:48
LPT-HQ-5659,TRUE,LPT-HQ-5659.sra.org.sz,"CN=LPT-HQ-5659,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/03 09:58,TRUE,8,2022/11/12 09:11
LPT-HQ-5661,TRUE,LPT-HQ-5661.sra.org.sz,"CN=LPT-HQ-5661,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 1909,2022/10/31 09:21,FALSE,,
LPT-HQ-5651,TRUE,LPT-HQ-5651.sra.org.sz,"CN=LPT-HQ-5651,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 1909,2022/10/31 08:27,TRUE,14,2022/11/18 10:55
LPT-HQ-5685,TRUE,LPT-HQ-5685.sra.org.sz,"CN=LPT-HQ-5685,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:50,TRUE,9,2022/11/13 16:36
LPT-HQ-5683,TRUE,LPT-HQ-5683.sra.org.sz,"CN=LPT-HQ-5683,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/03 15:20,TRUE,16,2022/11/20 11:59
LPT-HQ-5684,TRUE,LPT-HQ-5684.sra.org.sz,"CN=LPT-HQ-5684,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 09:30,TRUE,9,2022/11/13 17:06
LPT-HQ-5664,TRUE,LPT-HQ-5664.sra.org.sz,"CN=LPT-HQ-5664,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 1909,2022/11/03 10:16,FALSE,,
LPT-HQ-5662,TRUE,LPT-HQ-5662.sra.org.sz,"CN=LPT-HQ-5662,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/26 11:48,FALSE,,
LPT-HQ-5679,TRUE,LPT-HQ-5679.sra.org.sz,"CN=LPT-HQ-5679,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/03 14:28,FALSE,,
